118-04-00890; 118-04-00888; 20.08.2018; 15.10; 390.39; 3.02350; 260984.1; 23.0; 6
134-09-09031; 134-09-09032; 20.08.2018; 15.27; 209.33; -0.05283; 260985.1; 24.0; 3
134-09-09032; 134-09-09034; 20.08.2018; 15.45; 307.89; 0.29964; 260986.1; 24.0; 4
134-09-09034; 134-09-09060; 20.08.2018; 16.18; 465.72; 6.93831; 260987.1; 24.0; 6
134-09-09060; 134-09-00215; 20.08.2018; 16.28; 101.34; 1.69527-557; 260988.1; 25.0; 2
134-09-00215; 134-09-09060; 20.08.2018; 16.38; 101.35; -1.69533-557; 260988.2; 28.0; 2
134-09-09060; 134-09-00215; 20.08.2018; 16.42; 101.35; 1.69593-557; 260989.1; 29.0; 2
134-09-00215; 134-09-09060; 20.08.2018; 16.44; 101.34; -1.695-557; 260989.2; 27.0; 2
134-09-09060; 134-09-09034; 21.08.2018; 07.57; 467.89; -6.93927; 260987.2; 17.0; 6
134-09-09034; 134-09-09032; 21.08.2018; 08.08; 315.12; -0.29991; 260986.2; 18.0; 4
134-09-09032; 134-09-09031; 21.08.2018; 08.15; 281.22; 0.05287; 260985.2; 18.0; 3
134-09-09016; 118-04-00890; 21.08.2018; 08.44; 708.01; -6.73477; 260983.1; 20.0; 6
118-04-00890; 118-04-09155; 21.08.2018; 09.08; 1199.20; 3.83721; 260990.1; 19.0; 7
118-04-00890; 134-09-09016; 21.08.2018; 09.45; 682.32; 6.73446; 260983.2; 20.0; 8
134-09-09016; 134-09-09031; 21.08.2018; 10.28; 316.91; -5.79337; 260982.2; 22.0; 6
118-04-09117; 118-04-00405; 21.08.2018; 13.00; 72.09; 1.48863; 260993.1; 25.0; 2
118-04-00405; 118-04-09117; 21.08.2018; 13.02; 72.10; -1.48855; 260993.2; 25.0; 2
118-04-09117; 118-04-00405; 21.08.2018; 13.05; 72.15; 1.48800; 260993.1; 24.0; 2
118-04-00405; 118-04-09117; 21.08.2018; 13.19; 72.16; -1.48825; 260993.2; 25.0; 2
118-04-09117; 118-04-00892; 21.08.2018; 13.48; 71.61; -1.15786; 260994.1; 25.0; 2
